variance,skewness,curtosis,entropy,class
-1.616,0.809,8.163,0.608,0
1.927,7.756,-0.168,-3.077,0
3.838,6.185,-2.044,-0.033,0
4.040,0.515,1.028,1.106,0
1.352,1.060,-2.344,0.400,1
1.641,3.549,1.396,-0.364,0
3.184,7.232,-1.071,-2.591,0
-1.445,-8.438,8.848,0.969,1
0.318,-0.993,1.095,0.886,1
0.814,9.157,-2.149,-4.181,0
-1.855,-9.604,7.776,-0.977,1
0.007,8.366,0.508,-3.816,0
-3.959,4.029,-0.358,-3.896,1
3.145,5.825,-0.514,-1.494,0
1.645,7.861,-0.876,-3.557,0
4.985,8.352,-2.542,-1.282,0
-3.993,2.622,0.629,-1.159,1
-5.122,-5.312,10.385,-1.061,1
0.741,0.366,2.199,0.484,0
-2.546,3.110,-0.832,-3.036,1
-4.886,7.054,-0.173,-6.959,1
0.329,-4.455,4.572,-0.989,0
3.086,-2.584,2.231,0.309,0
-2.456,-4.557,6.453,-0.056,1
-5.048,-5.802,11.244,-0.390,1
-2.063,-1.515,1.219,0.445,1
4.013,10.148,-3.937,-4.073,0
-0.295,9.049,-0.527,-2.079,0
0.571,-0.025,1.242,-0.562,0
-1.119,10.727,2.094,-5.650,0
-2.437,3.603,-1.417,-2.895,1
1.231,3.892,-4.828,-4.007,1
2.599,3.518,0.762,0.811,0
-3.020,-0.673,2.706,0.858,1
0.244,1.473,-1.419,-0.585,1
1.932,6.042,0.260,-2.053,0
-3.623,3.996,-0.358,-3.905,1
3.230,7.838,-3.535,-1.215,0
-5.525,6.326,0.898,-6.624,1
0.884,6.591,0.558,-0.442,0
-1.786,-8.116,7.086,-1.211,1
-2.699,12.198,0.677,-8.548,0
1.822,-6.475,8.051,-0.419,0
1.147,3.599,1.939,-0.434,0
-0.936,-5.101,4.537,1.387,1
-4.022,-8.304,12.555,-1.510,1
-4.577,3.451,0.667,-0.947,1
-3.073,-0.532,2.388,0.776,1
2.774,6.858,-1.067,0.075,0
-3.917,2.665,0.789,-0.782,1
0.896,7.776,-2.747,-1.935,0
-0.706,8.724,2.221,-4.596,0
-0.696,8.617,1.842,-4.329,0
2.916,10.831,-3.344,-4.122,0
-0.025,-0.174,-0.113,1.220,1
1.318,1.902,-3.311,0.065,1
0.570,7.629,1.575,-3.223,0
1.001,7.785,-0.282,-2.661,0
0.004,0.629,-0.641,0.758,1
-2.198,-2.125,1.715,0.452,1
2.897,0.708,2.290,1.866,0
1.641,4.250,-4.902,-2.662,1
0.833,7.540,0.650,-0.925,0
4.072,7.640,-2.082,-1.170,0
-2.590,-0.391,0.935,0.430,1
-0.408,0.542,-0.527,0.659,1
3.923,-3.247,3.458,0.837,0
-2.286,-5.448,5.804,0.882,1
-1.748,-5.823,5.870,1.212,1
-0.863,1.935,-2.373,-1.090,1
3.735,9.591,-3.903,-3.349,0
0.745,3.636,-4.404,-4.141,1
-0.660,-3.226,3.806,1.184,1
-2.420,-0.244,0.701,0.418,1
3.943,2.502,1.522,0.903,0
4.793,1.707,-0.052,1.493,0
0.301,0.174,-1.754,0.489,1
-0.278,8.188,-3.134,-2.528,0
-3.492,-12.174,14.369,-0.616,1
4.743,2.109,0.137,1.654,0
-2.054,-10.868,9.493,-1.412,1
-1.422,11.654,-0.058,-7.103,0
-5.301,7.391,0.030,-7.399,1
-3.408,4.859,-0.769,-4.867,1
-2.564,-1.705,1.503,0.328,1
3.190,5.753,-0.185,-0.301,0
-3.231,-7.213,11.643,-0.946,1
-2.140,-0.168,1.321,-0.209,1
0.964,5.616,2.214,-0.125,0
