variance;skewness;curtosis;entropy;class;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1011;2998;-1166;-1619;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1979;3230;-1357;-2582;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
329;-4455;4572;-989;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-743;-329;-428;233;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-2791;1773;6776;-399;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4003;-3594;3557;268;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-4079;2924;870;-654;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2867;10001;-3205;-3110;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-2447;12625;736;-7661;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1664;3288;-2270;-2222;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;Media;;;;;;;;;;;;;;;;;;;;;;;;;
variance;skewness;curtosis;entropy;class;;;variance;skewness;curtosis;entropy;class;;;variance;skewness;curtosis;entropy;class;;;;;;;;;;;;;;;;;;;;
-1,011;2,998;-1,166;-1,619;1;;0;-1,011;2,998;-1,166;-1,619;1;;;-1,8952;2,4222;-0,8702;-1,3688;1;;;;;;;;;;;;;;;;;;;;
-1,979;3,23;-1,357;-2,582;1;;1;-1,979;3,23;-1,357;-2,582;1;;;0,3922;3,27;2,4872;-2,3782;0;;;;;;;;;;;;;;;;;;;;
0,329;-4,455;4,572;-0,989;0;;2;-0,743;-0,329;-0,428;0,233;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0,743;-0,329;-0,428;0,233;1;;3;-4,079;2,924;0,87;-0,654;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
-2,791;1,773;6,776;-0,399;0;;4;-1,664;3,288;-2,27;-2,222;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
4,003;-3,594;3,557;0,268;0;;5;0,329;-4,455;4,572;-0,989;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
-4,079;2,924;0,87;-0,654;1;;6;-2,791;1,773;6,776;-0,399;0;;Característica;variance;skewness;curtosis;entropy;;;;;;;;;;;;;;;;;;;;;
2,867;10,001;-3,205;-3,11;0;;7;4,003;-3,594;3,557;0,268;0;;Función de bonanza;70%;30%;70%;50%;;;;;;;;;;;;;;;;;;;;;
-2,447;12,625;0,736;-7,661;0;;8;2,867;10,001;-3,205;-3,11;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
-1,664;3,288;-2,27;-2,222;1;;9;-2,447;12,625;0,736;-7,661;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;Clasificación según distancia a centro de masas;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;variance;skewness;curtosis;entropy;class;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;0;1;0;1;1;1;;;;;;;;;;;;;;;;;;;
;;;;;;;variance;curtosis;class;;;;;1;1;0;1;0;1;;;;;;;;;;;;;;;;;;;
;variance;curtosis;;;;0;-1,011;-1,166;1;;;;;2;0;1;1;1;1;;;;;;;;;;;;;;;;;;;
Media;-0,7515;0,8085;;;;1;-1,979;-1,357;1;;;;;3;1;0;0;1;1;;;;;;;;;;;;;;;;;;;
Desviación;2,39540507;3,05025567;;;;2;-0,743;-0,428;1;;;;;4;1;0;1;0;1;;;;;;;;;;;;;;;;;;;
;;;;;;3;-4,079;0,87;1;;;;;5;0;1;0;1;0;;;;;;;;;;;;;;;;;;;
;;;;;;4;-1,664;-2,27;1;;;;;6;1;1;0;1;0;;;;;;;;;;;;;;;;;;;
;;;;;;5;0,329;4,572;0;;;;;7;0;1;0;1;0;;;;;;;;;;;;;;;;;;;
;;;;;;6;-2,791;6,776;0;;;;;8;0;0;1;0;0;;;;;;;;;;;;;;;;;;;
;;;;;;7;4,003;3,557;0;;;;;9;1;0;1;0;0;;;;;;;;;;;;;;;;;;;
;;;;;;8;2,867;-3,205;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;9;-2,447;0,736;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;variance;curtosis;class;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0;0,06734025;3,89865025;1;;;;variance;curtosis;class;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1,50675625;4,68939025;1;;;0;-0,108332408;-0,647322787;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;7,225E-05;1,52893225;1;;;1;-0,512439426;-0,709940488;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;11,07225625;0,00378225;1;;;2;0,00354846;-0,405375855;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;0,83265625;9,47716225;1;;;3;-1,389117875;0,020162244;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;1,16748025;14,16393225;0;;;4;-0,380937659;-1,00925966;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;4,15956025;35,61105625;0;;;5;0,451071935;1,233830999;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;22,60527025;7,55425225;0;;;6;-0,85142176;1,95639338;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;13,09354225;16,10818225;0;;;7;1,984841754;0,901072008;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2,87472025;0,00525625;0;;;8;1,51060046;-1,315791342;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;9;-0,707813481;-0,023768499;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;i=0;;;;;;;i=1;;;;;i=2;;;;;;;;;;;;;;;;;;;
;;variance;curtosis;class;C-means;;;variance;curtosis;class;;;;;variance;entropy;class;;;variance;entropy;class;;;;;;;;;;;;;;;;
;0;-0,108332408;-0,647322787;1;1;;K1;-0,108332408;-0,647322787;1;;;;K1;0,050043728;-0,398778047;1;;K1;-0,22635599;-0,584470912;1;;;;;;;;;;;;;;;;
;1;-0,512439426;-0,709940488;1;1;;K0;-0,85142176;1,95639338;0;;;;K0;-0,200174912;1,59511219;0;;K0;0,528163976;1,363765462;0;;;;;;;;;;;;;;;;
;2;0,00354846;-0,405375855;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;-1,389117875;0,020162244;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;-0,380937659;-1,00925966;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;0,451071935;1,233830999;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;-0,85142176;1,95639338;0;0;;;D(x,K1);D(x,K0);Class;;;;;D(x,K1);D(x,K0);Class;;;D(x,K1);D(x,K0);Class;;;;;;;;;;;;;;;;
;7;1,984841754;0,901072008;0;0;;0;0;2,70767791;K1;;;;0;0,294715945;2,244314966;K1;;0;0,133715833;2,109408351;K1;;;;;;;;;;;;;;;;
;8;1,51060046;-1,315791342;0;1;;1;0,40892965;2,687795625;K1;;;;1;0,642813631;2,326107688;K1;;1;0,312388135;2,320153403;K1;;;;;;;;;;;;;;;;
;9;-0,707813481;-0,023768499;0;1;;2;0,26656265;2,51175795;K1;;;;2;0,046961058;2,01083456;K1;;2;0,291429401;1,845286547;K1;;;;;;;;;;;;;;;;
;;;;;;;3;1,444281024;2,009504447;K1;;;;3;1,498898625;1,973335425;K1;;3;1,310571042;2,341204669;K1;;;;;;;;;;;;;;;;
;;;;;;;4;0,453113587;3,002740955;K1;;;;4;0,747283584;2,610637451;K1;;4;0,452040897;2,541203261;K1;;;;;;;;;;;;;;;;
;;0;-5,55112E-17;;;;5;1,962567906;1,489491933;K0;;;;5;1,681141256;0,744745967;K0;;5;1,940394402;0,151083247;K0;;;;;;;;;;;;;;;;
;;;;;;;6;2,70767791;0;K0;;;;6;2,521799453;0,744745967;K0;;6;2,616619684;1,50148748;K0;;;;;;;;;;;;;;;;
;;;;;;;7;2,603632945;3,02623428;K1;;;;7;2,330891153;2,292594514;K0;;7;2,663875603;1,528396343;K0;;;;;;;;;;;;;;;;
;;;;;;;8;1,751511873;4,035634005;K1;;;;8;1,724569322;3,376405151;K1;;8;1,884634521;2,853980748;K1;;;;;;;;;;;;;;;;
;;;;;;;9;0,864984107;1,985362538;K1;;;;9;0,845564728;1,696605906;K1;;9;0,739045676;1,858195568;K1;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;variance;curtosis;class;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0;-0,108332408;-0,647322787;1;variance;-0,108332408;-0,512439426;0,00354846;-1,389117875;-0,380937659;0,451071935;-0,85142176;1,984841754;1,51060046;-0,707813481;;;;;;;;;;;;;;;;;;;;;;;
;1;-0,512439426;-0,709940488;1;curtosis;-0,647322787;-0,709940488;-0,405375855;0,020162244;-1,00925966;1,233830999;1,95639338;0,901072008;-1,315791342;-0,023768499;;;;;;;;;;;;;;;;;;;;;;;
;2;0,00354846;-0,405375855;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;-1,389117875;0,020162244;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;4;-0,380937659;-1,00925966;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;0,451071935;1,233830999;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;6;-0,85142176;1,95639338;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
